;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;1;32;200.0
1;2;Champagne;0;0;
2;3;Picardie;0;11;
3;4;Haute-Normandie;0;9;
4;5;Centre;0;5;
5;6;Basse-Normandie;0;4;
6;7;Bourgogne;0;5;
7;8;Nord;0;4;
8;9;Lorraine;1;6;15.0
9;10;Alsace;0;3;
10;11;Franche Comté;2;5;60.0
11;12;Pays de la Loire;0;8;
12;13;Bretagne;0;10;
13;14;Poitou Charentes;1;4;133.0
14;15;Aquitaine;0;8;
15;16;Midi-Pyrénées;0;6;
16;17;limousin;0;4;
17;18;Rhône-Alpes;0;20;
18;19;Auvergne;0;5;
19;20;Languedoc;0;10;
20;21;Provence Côte d'Azur;0;14;
