;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;35;5;
1;2;Champagne;7;1;
2;3;Picardie;0;0;
3;4;Haute-Normandie;7;1;
4;5;Centre;14;2;
5;6;Basse-Normandie;7;1;
6;7;Bourgogne;7;1;
7;8;Nord;49;7;
8;9;Lorraine;7;1;
9;10;Alsace;7;1;
10;11;Franche Comté;0;0;
11;12;Pays de la Loire;7;1;
12;13;Bretagne;0;0;
13;14;Poitou Charentes;14;2;
14;15;Aquitaine;7;1;
15;16;Midi-Pyrénées;0;0;
16;17;limousin;7;1;
17;18;Rhône-Alpes;21;3;
18;19;Auvergne;7;1;
19;20;Languedoc;7;1;
20;21;Provence Côte d'Azur;14;2;
