;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;8;8;32.8571428571
1;2;Champagne;6;6;53.3333333333
2;3;Picardie;2;2;30.0
3;4;Haute-Normandie;4;4;27.5
4;5;Centre;6;6;51.0
5;6;Basse-Normandie;4;4;33.75
6;7;Bourgogne;2;2;30.0
7;8;Nord;15;15;35.7142857143
8;9;Lorraine;5;5;20.0
9;10;Alsace;4;4;36.6666666667
10;11;Franche Comté;1;1;30.0
11;12;Pays de la Loire;2;2;60.0
12;13;Bretagne;1;1;60.0
13;14;Poitou Charentes;3;3;30.0
14;15;Aquitaine;1;1;30.0
15;16;Midi-Pyrénées;2;2;22.0
16;17;limousin;4;4;27.5
17;18;Rhône-Alpes;5;5;31.0
18;19;Auvergne;1;1;45.0
19;20;Languedoc;3;3;81.6666666667
20;21;Provence Côte d'Azur;4;4;60.0
